Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction,JobSatisfaction2,ConversionUSD
United States,Male,28,Employed full-time,Mix of fields,Bachelor's degree,Mathematics or statistics,75000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,5,5,1
Argentina,Male,40,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,"Information technology, networking, or system administration",45000,USD,Business Analyst,Fine,Python,Yes,51-75% of projects,3,3,1
India,Male,42,Employed full-time,Technology,Master's degree,Engineering (non-computer focused),100000,INR,Other,Perfectly,Python,No,100% of projects,5,5,0.0154
Canada,Female,28,Employed full-time,Academic,Master's degree,Physics,20000,CAD,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,5,5,0.7713
France,Male,50,Employed full-time,Academic,Doctoral degree,Computer Science,65000,EUR,Scientist/Researcher,Fine,Python,Yes,100% of projects,7,7,1.1304
South Africa,Male,26,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,270000,ZAR,Data Analyst,Fine,Python,No,51-75% of projects,4,4,0.0753
United States,Male,35,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,180000,USD,Other,Fine,R,Yes,51-75% of projects,8,8,1
Other,Male,28,Employed full-time,Internet-based,Master's degree,Mathematics or statistics,45000,EUR,Data Analyst,Fine,R,No,76-99% of projects,8,8,1.1304
United States,Male,55,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,150000,USD,Researcher,Fine,Python,No,51-75% of projects,9,9,1
Brazil,Male,38,"Independent contractor, freelancer, or self-employed",Internet-based,Bachelor's degree,Computer Science,200000,BRL,Data Analyst,Fine,Python,Yes,10-25% of projects,10 - Highly Satisfied,10,0.3134
United States,Male,33,Employed full-time,Other,Bachelor's degree,Computer Science,110000,USD,Data Analyst,Poorly,Python,Sort of (Explain more),76-99% of projects,9,9,1
Spain,Male,44,Employed full-time,Government,Master's degree,Computer Science,20000,EUR,Programmer,Fine,Python,No,Less than 10% of projects,1 - Highly Dissatisfied,1,1.1304
United States,Male,41,Employed full-time,Academic,Doctoral degree,Biology,79000,USD,Statistician,Fine,R,Yes,26-50% of projects,8,8,1
United States,Female,33,Employed full-time,Academic,Doctoral degree,Biology,20000,USD,Scientist/Researcher,Perfectly,Python,Yes,100% of projects,8,8,1
United States,Male,40,Employed full-time,Non-profit,Master's degree,A humanities discipline,64000,USD,Scientist/Researcher,Poorly,Python,Sort of (Explain more),51-75% of projects,1 - Highly Dissatisfied,1,1
Singapore,Male,33,Employed full-time,Financial,Bachelor's degree,Electrical Engineering,102000,SGD,DBA/Database Engineer,Poorly,Python,Sort of (Explain more),10-25% of projects,5,5,0.7245
Brazil,Male,30,Employed full-time,Technology,Doctoral degree,Computer Science,3600,BRL,Machine Learning Engineer,Fine,R,Yes,51-75% of projects,8,8,0.3134
Canada,Male,40,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,195000,CAD,Other,Perfectly,R,Yes,76-99% of projects,9,9,0.7713
United States,Male,47,Employed full-time,Academic,Doctoral degree,Physics,72000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,7,7,1
United States,Female,34,Employed full-time,Government,Doctoral degree,Mathematics or statistics,50000,USD,Data Analyst,Fine,Python,Sort of (Explain more),10-25% of projects,6,6,1
United States,Male,45,Employed full-time,Academic,Doctoral degree,A health science,100000,USD,DBA/Database Engineer,Fine,Python,No,Less than 10% of projects,9,9,1
Russia,Male,30,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,1800000,RUB,Data Analyst,Fine,Python,Yes,76-99% of projects,9,9,0.0172
Canada,Male,40,"Independent contractor, freelancer, or self-employed",CRM/Marketing,Some college/university study without earning a bachelor's degree,Computer Science,150000,CAD,Data Analyst,Fine,Python,Yes,100% of projects,8,8,0.7713
Colombia,Male,25,Employed full-time,Academic,Some college/university study without earning a bachelor's degree,Computer Science,48000000,COP,Engineer,Fine,R,Sort of (Explain more),51-75% of projects,8,8,3e-4
United States,Male,20,Employed part-time,Financial,Some college/university study without earning a bachelor's degree,Mathematics or statistics,120000,USD,Data Analyst,Fine,Python,Sort of (Explain more),26-50% of projects,4,4,1
United States,Male,28,Employed full-time,Telecommunications,Doctoral degree,Other,11500,USD,Scientist/Researcher,Fine,Matlab,Sort of (Explain more),76-99% of projects,8,8,1
Germany,Male,36,Employed full-time,Mix of fields,Doctoral degree,Mathematics or statistics,90000,EUR,Scientist/Researcher,Fine,Python,Sort of (Explain more),51-75% of projects,10 - Highly Satisfied,10,1.1304
United States,Male,48,Employed full-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",200000,USD,Machine Learning Engineer,Poorly,Python,Sort of (Explain more),100% of projects,7,7,1
United States,Male,32,Employed full-time,Financial,Master's degree,Computer Science,140000,USD,Computer Scientist,Fine,Python,Yes,10-25% of projects,7,7,1
Switzerland,Male,37,Employed full-time,Academic,Doctoral degree,Computer Science,98000,CHF,Scientist/Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,2,2,1.0163
Mexico,Male,45,Employed full-time,Financial,Master's degree,Computer Science,624000,MXN,DBA/Database Engineer,Fine,R,No,100% of projects,8,8,0.053
India,Male,30,Employed full-time,Pharmaceutical,Bachelor's degree,Computer Science,1300000,INR,Software Developer/Software Engineer,Perfectly,R,Yes,10-25% of projects,4,4,0.0154
United States,Male,34,Employed full-time,Academic,Doctoral degree,Physics,50000,USD,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),76-99% of projects,7,7,1
Chile,Male,24,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Physics,12000,USD,Software Developer/Software Engineer,Fine,Python,No,76-99% of projects,8,8,1
United States,Male,38,Employed full-time,Government,Bachelor's degree,A social science,90000,USD,Other,Fine,Python,Sort of (Explain more),100% of projects,6,6,1
United States,Male,55,Employed full-time,Technology,Master's degree,Electrical Engineering,230000,USD,Software Developer/Software Engineer,Fine,Python,No,26-50% of projects,1 - Highly Dissatisfied,1,1
United States,A different identity,43,Employed full-time,Government,Doctoral degree,A social science,158000,USD,Scientist/Researcher,Fine,C/C++/C#,Yes,10-25% of projects,6,6,1
United States,Female,59,Employed full-time,Technology,Doctoral degree,Other,190000,USD,Statistician,Fine,Python,Yes,10-25% of projects,10 - Highly Satisfied,10,1
United States,Male,52,Employed full-time,Pharmaceutical,Bachelor's degree,Engineering (non-computer focused),95000,USD,Software Developer/Software Engineer,Fine,R,No,26-50% of projects,4,4,1
Brazil,Male,45,Employed full-time,Government,Doctoral degree,Computer Science,200000,BRL,Data Analyst,Poorly,Python,Yes,26-50% of projects,6,6,0.3134
Mexico,Male,31,Employed full-time,Financial,Bachelor's degree,Mathematics or statistics,18000,MXN,Data Analyst,Fine,R,No,100% of projects,7,7,0.053
United States,Male,56,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,90000,USD,Engineer,Perfectly,Python,No,None,4,4,1
United States,Male,31,Employed full-time,Financial,Master's degree,Management information systems,106000,USD,Other,Fine,Python,Yes,76-99% of projects,7,7,1
Canada,Male,52,Employed full-time,Other,Master's degree,Computer Science,108000,CAD,DBA/Database Engineer,Poorly,Python,No,26-50% of projects,7,7,0.7713
India,Male,58,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Electrical Engineering,3000000,INR,Other,Fine,Python,No,76-99% of projects,8,8,0.0154
United States,Female,56,Employed full-time,Pharmaceutical,Master's degree,Engineering (non-computer focused),1000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),10-25% of projects,5,5,1
India,Male,32,Employed full-time,Academic,Master's degree,Mathematics or statistics,400000,INR,Other,Perfectly,Python,Yes,26-50% of projects,8,8,0.0154
United States,Male,25,Employed full-time,Technology,Master's degree,Computer Science,60000,USD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6,1
United States,Male,39,Employed full-time,Other,Master's degree,Engineering (non-computer focused),132000,USD,Predictive Modeler,Fine,SQL,Sort of (Explain more),51-75% of projects,8,8,1
United States,Male,31,Employed full-time,Telecommunications,Master's degree,Electrical Engineering,110000,USD,Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,4,4,1
United States,Male,39,Employed full-time,Other,Master's degree,Engineering (non-computer focused),140000,USD,Software Developer/Software Engineer,Poorly,R,Yes,100% of projects,3,3,1
Colombia,Male,29,Employed full-time,Academic,Master's degree,A social science,3000000,COP,Researcher,Fine,R,Yes,10-25% of projects,8,8,3e-4
United States,Male,32,Employed full-time,Technology,Master's degree,Engineering (non-computer focused),300000,USD,Other,Poorly,Python,Sort of (Explain more),76-99% of projects,7,7,1
United States,Male,30,Employed full-time,Government,Master's degree,Biology,46000,USD,Statistician,Fine,Python,Sort of (Explain more),26-50% of projects,6,6,1
Mexico,Male,27,Employed full-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",360000,MXN,Data Analyst,Fine,Python,No,100% of projects,6,6,0.053
United States,Male,63,Employed full-time,Academic,Doctoral degree,Other,175000,USD,Other,Perfectly,R,Yes,76-99% of projects,10 - Highly Satisfied,10,1
Finland,Male,29,Employed full-time,Academic,Doctoral degree,Physics,30000,EUR,Scientist/Researcher,Fine,Python,No,100% of projects,4,4,1.1304
United States,Male,38,Employed full-time,Academic,Master's degree,Electrical Engineering,90000,USD,Software Developer/Software Engineer,Fine,Python,Yes,100% of projects,6,6,1
Japan,Male,32,Employed full-time,Pharmaceutical,Doctoral degree,Other,15340000,JPY,Other,Fine,Python,Sort of (Explain more),51-75% of projects,8,8,0.0089
Malaysia,Male,40,Employed full-time,Manufacturing,Master's degree,Mathematics or statistics,50000,USD,Data Analyst,Fine,R,No,100% of projects,8,8,1
India,Male,25,Employed full-time,Technology,Bachelor's degree,Computer Science,1296000,INR,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),51-75% of projects,3,3,0.0154
Greece,Female,24,Employed full-time,Technology,Master's degree,Computer Science,25000,EUR,DBA/Database Engineer,Fine,Python,Yes,Less than 10% of projects,9,9,1.1304
United States,Male,32,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,72000,USD,Data Analyst,Fine,Python,Yes,51-75% of projects,6,6,1
Greece,Female,31,Employed full-time,Military/Security,Master's degree,Computer Science,30000,EUR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,6,6,1.1304
United States,Male,31,Employed full-time,Other,Bachelor's degree,Engineering (non-computer focused),105000,USD,Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,7,7,1
United States,Male,40,Employed full-time,Academic,Doctoral degree,Electrical Engineering,130000,USD,Researcher,Fine,Python,Yes,76-99% of projects,8,8,1
Brazil,Male,51,Employed full-time,Pharmaceutical,Bachelor's degree,Mathematics or statistics,90000,BRL,Data Analyst,Fine,R,Yes,76-99% of projects,7,7,0.3134
United States,Female,61,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,190000,USD,Scientist/Researcher,Fine,R,Yes,26-50% of projects,6,6,1
United States,Male,42,"Independent contractor, freelancer, or self-employed",Other,Master's degree,Computer Science,175000,USD,DBA/Database Engineer,Poorly,Python,Yes,26-50% of projects,7,7,1
United States,Male,43,"Independent contractor, freelancer, or self-employed",CRM/Marketing,Bachelor's degree,Other,140000,USD,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),100% of projects,5,5,1
United States,Male,26,Employed full-time,Internet-based,Bachelor's degree,Mathematics or statistics,50000,USD,Engineer,Fine,Python,No,Less than 10% of projects,8,8,1
United States,Male,34,Employed full-time,CRM/Marketing,Master's degree,A humanities discipline,95000,USD,Data Analyst,Fine,Python,No,100% of projects,7,7,1
Brazil,Male,29,Employed full-time,Other,Bachelor's degree,I never declared a major,45000,BRL,Statistician,Perfectly,Python,Yes,76-99% of projects,10 - Highly Satisfied,10,0.3134
People 's Republic of China,Male,25,Employed full-time,Technology,Master's degree,Computer Science,400000,CNY,Machine Learning Engineer,Fine,Python,No,100% of projects,3,3,0.148
India,Female,52,Employed full-time,Government,Doctoral degree,Mathematics or statistics,1500000,INR,Other,Perfectly,R,Yes,51-75% of projects,9,9,0.0154
United States,Female,37,Employed full-time,CRM/Marketing,Master's degree,Computer Science,150000,USD,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),26-50% of projects,7,7,1
Colombia,"Non-binary, genderqueer, or gender non-conforming",22,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),39000000,COP,Engineer,Fine,Python,No,51-75% of projects,6,6,3e-4
Greece,Male,28,Employed part-time,Mix of fields,Master's degree,Mathematics or statistics,0,EUR,Data Analyst,Fine,R,Yes,100% of projects,8,8,1.1304
United States,Male,28,Employed full-time,Other,Bachelor's degree,Engineering (non-computer focused),105000,USD,Engineer,Poorly,Python,Sort of (Explain more),100% of projects,9,9,1
India,Male,41,Employed full-time,Telecommunications,Master's degree,Engineering (non-computer focused),2500000,INR,Programmer,Perfectly,R,Yes,100% of projects,7,7,0.0154
India,Male,24,Employed full-time,CRM/Marketing,Master's degree,Engineering (non-computer focused),1600000,INR,Business Analyst,Fine,Python,Yes,26-50% of projects,5,5,0.0154
United States,Male,34,Employed full-time,Internet-based,Doctoral degree,Physics,150000,USD,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,9,9,1
Spain,Male,38,Employed full-time,Mix of fields,Master's degree,Computer Science,42000,EUR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,9,9,1.1304
United States,Male,30,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),60000,USD,Researcher,Fine,R,Yes,76-99% of projects,8,8,1
India,Male,34,Employed full-time,Technology,Master's degree,Electrical Engineering,5500000,INR,Other,Fine,Python,Sort of (Explain more),26-50% of projects,5,5,0.0154
United States,Male,63,Employed full-time,Financial,Doctoral degree,Engineering (non-computer focused),350000,USD,Scientist/Researcher,Fine,R,Yes,76-99% of projects,10 - Highly Satisfied,10,1
United States,Male,53,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),115000,USD,Researcher,Fine,R,Yes,51-75% of projects,10 - Highly Satisfied,10,1
India,Male,41,Employed full-time,Telecommunications,Master's degree,Management information systems,3269000,INR,Programmer,Fine,Python,Sort of (Explain more),Less than 10% of projects,3,3,0.0154
Spain,Male,47,Employed part-time,Academic,Doctoral degree,Computer Science,35000,EUR,Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,4,4,1.1304
United States,Female,25,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Biology,67000,USD,Data Analyst,Perfectly,R,No,51-75% of projects,3,3,1
United States,Male,40,Employed full-time,Financial,Master's degree,Engineering (non-computer focused),130000,USD,DBA/Database Engineer,Fine,Python,No,Less than 10% of projects,9,9,1
United States,Female,30,"Independent contractor, freelancer, or self-employed",Government,Doctoral degree,Engineering (non-computer focused),50000,USD,Researcher,Fine,Python,No,10-25% of projects,6,6,1
United States,Male,35,Employed full-time,Financial,Bachelor's degree,Mathematics or statistics,1000000,USD,Scientist/Researcher,Perfectly,Julia,Yes,Less than 10% of projects,9,9,1
Canada,Male,54,Employed full-time,Other,Master's degree,Computer Science,85000,CAD,Data Analyst,Perfectly,R,Yes,51-75% of projects,6,6,0.7713
United States,Female,37,Employed full-time,Technology,Master's degree,Computer Science,75000,USD,Software Developer/Software Engineer,Fine,R,Sort of (Explain more),Less than 10% of projects,4,4,1
Russia,Male,28,Employed full-time,Academic,Master's degree,Mathematics or statistics,300000,RUB,Data Analyst,Fine,R,Yes,None,3,3,0.0172
Russia,Male,40,Employed full-time,Technology,Master's degree,Computer Science,23000,EUR,Software Developer/Software Engineer,Fine,C/C++/C#,Yes,10-25% of projects,6,6,1.1304
United States,Male,22,Employed full-time,Military/Security,Master's degree,Electrical Engineering,75000,USD,Engineer,Fine,Python,No,100% of projects,9,9,1
United States,Female,29,Employed full-time,Mix of fields,Master's degree,Mathematics or statistics,162000,USD,Operations Research Practitioner,Fine,Python,Yes,51-75% of projects,9,9,1
United States,Male,38,Employed full-time,Mix of fields,Master's degree,Computer Science,140000,USD,Other,Fine,Python,Yes,76-99% of projects,8,8,1
India,Male,28,Employed full-time,Financial,Bachelor's degree,Engineering (non-computer focused),375000,INR,Business Analyst,Fine,SAS,No,76-99% of projects,7,7,0.0154
Canada,Male,35,Employed full-time,Academic,Doctoral degree,Other,35000,CAD,Scientist/Researcher,Perfectly,Python,No,Less than 10% of projects,8,8,0.7713
United States,Female,29,Employed full-time,Academic,Master's degree,Psychology,30000,USD,Researcher,Fine,SQL,Sort of (Explain more),10-25% of projects,8,8,1
Republic of China,Male,26,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),30000,USD,Computer Scientist,Perfectly,SQL,Yes,10-25% of projects,8,8,1
Germany,Male,34,Employed full-time,Other,Doctoral degree,Computer Science,62000,EUR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,7,7,1.1304
India,Male,23,Employed part-time,Mix of fields,Bachelor's degree,Electrical Engineering,600000,INR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6,0.0154
United States,Male,38,Employed full-time,Telecommunications,Master's degree,Computer Science,140000,USD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,8,8,1
Italy,Male,22,"Independent contractor, freelancer, or self-employed",Academic,Bachelor's degree,Computer Science,30000,EUR,Software Developer/Software Engineer,Fine,Python,Yes,51-75% of projects,7,7,1.1304
United States,Male,51,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Other,135000,USD,Machine Learning Engineer,Poorly,Python,Yes,100% of projects,10 - Highly Satisfied,10,1
Mexico,Male,27,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),12000,MXN,Business Analyst,Fine,R,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10,0.053
United States,Male,51,Employed full-time,Academic,Bachelor's degree,Other,125000,USD,Other,Fine,Python,No,10-25% of projects,7,7,1
United States,Male,28,Employed full-time,Retail,Master's degree,Electrical Engineering,175000,USD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,8,8,1
United States,Male,26,Employed full-time,Internet-based,Master's degree,Management information systems,100000,USD,Machine Learning Engineer,Fine,Python,No,Less than 10% of projects,1 - Highly Dissatisfied,1,1
Mexico,Male,41,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,100000,USD,Scientist/Researcher,Perfectly,R,No,10-25% of projects,9,9,1
United States,Male,47,Employed full-time,Academic,I prefer not to answer,Electrical Engineering,50000,USD,Computer Scientist,Perfectly,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied,10,1
Brazil,Male,23,Employed full-time,Academic,Bachelor's degree,"Information technology, networking, or system administration",18000,BRL,Scientist/Researcher,Perfectly,Python,Yes,76-99% of projects,8,8,0.3134
Mexico,Male,39,Employed full-time,Financial,Bachelor's degree,Mathematics or statistics,44000,MXN,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,8,8,0.053
United States,Male,33,Employed full-time,Academic,Bachelor's degree,Engineering (non-computer focused),72500,USD,Data Analyst,Fine,R,No,76-99% of projects,5,5,1
United States,Male,55,Employed full-time,Internet-based,Doctoral degree,Electrical Engineering,185000,USD,Machine Learning Engineer,Fine,SQL,Yes,51-75% of projects,6,6,1
United States,Male,31,Employed full-time,Pharmaceutical,Bachelor's degree,Computer Science,140000,USD,Programmer,Fine,R,No,26-50% of projects,7,7,1
United Kingdom,Male,36,Employed full-time,Mix of fields,Bachelor's degree,Mathematics or statistics,27000,GBP,Data Analyst,Fine,R,Sort of (Explain more),26-50% of projects,8,8,1.289
United States,Male,37,Employed full-time,Technology,Master's degree,Other,78000,USD,Scientist/Researcher,Perfectly,Python,Yes,76-99% of projects,8,8,1
Brazil,Male,30,Employed full-time,Financial,Master's degree,Computer Science,53756,BRL,Machine Learning Engineer,Fine,Python,Sort of (Explain more),100% of projects,6,6,0.3134
India,Male,23,Employed full-time,Technology,Bachelor's degree,Electrical Engineering,740000,INR,Business Analyst,Fine,Python,Yes,10-25% of projects,8,8,0.0154
United States,Female,27,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,60000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),10-25% of projects,5,5,1
Spain,Male,26,Employed full-time,Other,Master's degree,Engineering (non-computer focused),35000,EUR,Data Analyst,Fine,R,Sort of (Explain more),Less than 10% of projects,7,7,1.1304
United States,Male,40,Employed full-time,Academic,Master's degree,Computer Science,130000,USD,Software Developer/Software Engineer,Poorly,Python,Yes,10-25% of projects,6,6,1
India,Male,26,Employed full-time,Mix of fields,Master's degree,Electrical Engineering,45000,INR,Business Analyst,Fine,Python,No,10-25% of projects,8,8,0.0154
United States,Female,37,Employed full-time,Technology,Master's degree,A social science,56000,USD,Data Analyst,Fine,R,Sort of (Explain more),26-50% of projects,7,7,1
United States,Male,23,Employed full-time,Academic,Bachelor's degree,Biology,45000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,5,5,1
United States,Male,40,Employed full-time,Technology,Doctoral degree,Engineering (non-computer focused),150000,USD,Machine Learning Engineer,Perfectly,Python,Yes,None,3,3,1
United States,"Non-binary, genderqueer, or gender non-conforming",32,"Independent contractor, freelancer, or self-employed",Hospitality/Entertainment/Sports,Master's degree,A social science,5000,USD,Software Developer/Software Engineer,Fine,R,Sort of (Explain more),Less than 10% of projects,5,5,1
Canada,Female,27,Employed part-time,Academic,Master's degree,Computer Science,30000,CAD,Data Analyst,Perfectly,SQL,No,100% of projects,9,9,0.7713
Portugal,Male,39,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),18000,EUR,Scientist/Researcher,Poorly,R,Yes,51-75% of projects,8,8,1.1304
United States,Male,44,Employed full-time,Telecommunications,Doctoral degree,Engineering (non-computer focused),120000,CAD,Software Developer/Software Engineer,Poorly,Python,Yes,76-99% of projects,8,8,0.7713
United States,Male,32,Employed full-time,Other,Doctoral degree,Other,140000,USD,Operations Research Practitioner,Fine,R,Yes,76-99% of projects,8,8,1
Canada,Male,26,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,80000,CAD,Researcher,Poorly,Python,No,51-75% of projects,7,7,0.7713
United States,Male,30,Employed full-time,Internet-based,Bachelor's degree,A social science,110000,USD,Data Analyst,Perfectly,R,Yes,76-99% of projects,7,7,1
India,Male,37,Employed full-time,Technology,Bachelor's degree,Other,2200000,INR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),51-75% of projects,5,5,0.0154
Finland,Male,37,Employed full-time,Technology,Doctoral degree,"Information technology, networking, or system administration",100000,EUR,Software Developer/Software Engineer,Perfectly,Python,No,Less than 10% of projects,6,6,1.1304
United States,Male,29,Employed part-time,Academic,Master's degree,Electrical Engineering,25000,USD,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),Less than 10% of projects,5,5,1
United States,Male,29,Employed full-time,Retail,Master's degree,A social science,66000,USD,Data Analyst,Fine,Python,No,76-99% of projects,8,8,1
India,Male,23,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,400000,INR,Data Analyst,Fine,Python,Sort of (Explain more),10-25% of projects,6,6,0.0154
United States,Female,56,Employed full-time,Academic,Doctoral degree,Physics,80000,USD,Researcher,Fine,Python,Yes,100% of projects,7,7,1
India,Male,29,Employed full-time,Pharmaceutical,Master's degree,Electrical Engineering,700000,INR,Data Analyst,Perfectly,Python,Yes,100% of projects,7,7,0.0154
Canada,Male,36,Employed full-time,Technology,Bachelor's degree,Computer Science,150000,CAD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,6,6,0.7713
Pakistan,Male,33,Employed full-time,Academic,Master's degree,Computer Science,60000,PKR,Researcher,Perfectly,Python,Yes,26-50% of projects,10 - Highly Satisfied,10,0.0095
Brazil,Female,38,Employed full-time,Academic,Doctoral degree,Computer Science,35000,USD,Scientist/Researcher,Fine,R,Yes,10-25% of projects,7,7,1
Germany,Male,41,Employed full-time,Retail,Bachelor's degree,Management information systems,78000,EUR,Data Miner,Perfectly,R,Yes,100% of projects,9,9,1.1304
United States,"Non-binary, genderqueer, or gender non-conforming",28,"Independent contractor, freelancer, or self-employed",Mix of fields,Bachelor's degree,Mathematics or statistics,30000,USD,Statistician,Fine,Python,Sort of (Explain more),76-99% of projects,4,4,1
United States,Male,27,Employed full-time,Academic,Doctoral degree,Biology,105000,USD,Scientist/Researcher,Perfectly,Python,Yes,51-75% of projects,6,6,1
United States,Male,35,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Other,92000,USD,Machine Learning Engineer,Perfectly,Python,No,Less than 10% of projects,10 - Highly Satisfied,10,1
United States,Male,33,Employed full-time,Technology,Master's degree,Mathematics or statistics,115000,USD,Statistician,Fine,Python,Yes,10-25% of projects,7,7,1
United States,Male,23,Employed full-time,Manufacturing,Bachelor's degree,Mathematics or statistics,50000,USD,Machine Learning Engineer,Fine,Python,Yes,100% of projects,3,3,1
United States,Female,35,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,50000,USD,Scientist/Researcher,Fine,R,Sort of (Explain more),100% of projects,3,3,1
United States,Male,44,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),88000,USD,Other,Perfectly,Matlab,Yes,100% of projects,8,8,1
Italy,Male,27,Employed full-time,Military/Security,Master's degree,Computer Science,30000,EUR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,5,5,1.1304
Finland,Male,26,Employed full-time,Academic,Master's degree,"Information technology, networking, or system administration",30000,EUR,Other,Fine,R,No,100% of projects,7,7,1.1304
Switzerland,Male,32,Employed full-time,Insurance,Doctoral degree,A humanities discipline,100000,CHF,Data Analyst,Fine,Python,Yes,76-99% of projects,8,8,1.0163
Italy,Male,30,Employed full-time,Internet-based,Doctoral degree,Computer Science,25000,EUR,Scientist/Researcher,Fine,Python,Yes,Less than 10% of projects,8,8,1.1304
Brazil,Male,32,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Other,38400,BRL,Other,Fine,Python,No,26-50% of projects,8,8,0.3134
Mexico,Male,37,Employed full-time,Technology,Master's degree,Mathematics or statistics,50000,USD,Scientist/Researcher,Perfectly,Julia,Sort of (Explain more),51-75% of projects,7,7,1
United States,Male,51,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,100000,USD,Statistician,Fine,Python,Yes,26-50% of projects,7,7,1
United States,Male,27,Employed full-time,Financial,Master's degree,Mathematics or statistics,145000,USD,Other,Fine,Python,Sort of (Explain more),100% of projects,5,5,1
France,Male,50,Employed full-time,Other,Master's degree,Physics,90000,EUR,Other,Fine,Python,Yes,26-50% of projects,8,8,1.1304
Brazil,Male,38,Employed full-time,Telecommunications,Master's degree,Mathematics or statistics,110000,BRL,Statistician,Perfectly,SQL,Yes,51-75% of projects,10 - Highly Satisfied,10,0.3134
Other,Male,25,Employed full-time,Academic,Bachelor's degree,Computer Science,6000,USD,DBA/Database Engineer,Fine,Python,Yes,10-25% of projects,1 - Highly Dissatisfied,1,1
Canada,Male,25,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,67000,CAD,Business Analyst,Poorly,Python,Sort of (Explain more),10-25% of projects,5,5,0.7713
Canada,Male,24,Employed full-time,CRM/Marketing,Bachelor's degree,Computer Science,80000,CAD,Data Analyst,Fine,Python,No,26-50% of projects,7,7,0.7713
United States,Female,36,Employed full-time,Academic,Doctoral degree,Other,140000,USD,Other,Perfectly,Python,Yes,51-75% of projects,8,8,1
United States,Female,41,Employed full-time,Technology,Doctoral degree,Engineering (non-computer focused),120000,USD,Data Analyst,Poorly,R,Sort of (Explain more),26-50% of projects,3,3,1
